POP	Inversion	Type	CHR	StartNonRecombining	EndOutside	StartInside	EndInside	StartOutside	EndNonRecombining	SizeInside	SizeUsable	Len	ncd1_rawp_0.5	ncd1_rawp_0.4	ncd1_rawp_0.3	ncd2_rawp_0.5	ncd2_rawp_0.4	ncd2_rawp_0.3	ncd1_corp_0.5	ncd1_corp_0.4	ncd1_corp_0.3	ncd2_corp_0.5	ncd2_corp_0.4	ncd2_corp_0.3
GBR	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.193323289763173	0.146707129082516	0.0570723816227363	0.215834305619473	0.230682346608093	0.234488581495602	0.379177377892031	0.305912596401028	0.155526992287918	0.758354755784062	0.772493573264782	0.773778920308483
GIH	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.766786496425768	0.730757457315392	0.612933855828187	0.193296534188147	0.212114968579376	0.215972170646453	0.855504587155963	0.844036697247706	0.76605504587156	0.655963302752294	0.681192660550459	0.686926605504587
GWD	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.231037375191736	0.192754566177233	0.107729031819738	0.145879351289217	0.160204207594119	0.169103956224446	0.637826961770624	0.586519114688129	0.425553319919517	0.567404426559356	0.600603621730382	0.616700201207243
IBS	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.152900370266421	0.110652926635619	0.0388276947876034	0.0796954094062725	0.0781986977452017	0.0699275014087754	0.31672203765227	0.241417497231451	0.102990033222591	0.389811738648948	0.384274640088594	0.346622369878184
ITU	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.631509821663645	0.573807736886543	0.409554749230578	0.188011631542344	0.197220201749517	0.193002332050865	0.808773903262092	0.768278965129359	0.617547806524185	0.68503937007874	0.707536557930259	0.689538807649044
JPT	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.991070633215392	0.990969676022429	0.990431633570523	0.093339273780352	0.10202035405867	0.104154901169827	0.990476190476191	0.990476190476191	0.990476190476191	0.450340136054422	0.477551020408163	0.48843537414966
KHV	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.894180081407498	0.882219607588728	0.839988361932116	0.169387581999549	0.178231690435	0.174827678918654	0.932245922208281	0.923462986198243	0.902132998745295	0.664993726474279	0.683814303638645	0.663739021329987
LWK	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0386730566631607	0.0289021984865158	0.014224198203378	0.205973457298767	0.212575394576195	0.221969253143194	0.180443548387097	0.144153225806452	0.0776209677419355	0.685483870967742	0.694556451612903	0.70866935483871
MSL	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.020229366575338	0.0110363383132107	0.00218890241403503	0.231330145957059	0.226119095433095	0.214327629565575	0.0871327254305978	0.0587639311043566	0.0162107396149949	0.723404255319149	0.720364741641337	0.706180344478217
MXL	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.556590738983413	0.499027653403547	0.339803392186477	0.197551345936618	0.201059983273937	0.188953366409862	0.740318906605923	0.683371298405467	0.529612756264237	0.703872437357631	0.711845102505695	0.67995444191344
PEL	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.799229012854815	0.774918358177929	0.697042621389822	0.248599382989509	0.25532713819541	0.244878385498536	0.896713615023474	0.877934272300469	0.828638497652582	0.758215962441315	0.762910798122066	0.746478873239437
PJL	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.874623335078538	0.857377631729488	0.797750731735776	0.102077715541753	0.110184881670467	0.110522647027625	0.946607341490545	0.931034482758621	0.899888765294772	0.42714126807564	0.448275862068966	0.446051167964405
PUR	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.1370572922637	0.0996315154344596	0.0379848604531443	0.263435566874059	0.250069459874452	0.218528913393175	0.401234567901235	0.325102880658436	0.151234567901235	0.776748971193416	0.760288065843621	0.704732510288066
STU	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.803497239673855	0.773093451335679	0.676785983990334	0.0952285444394956	0.101779461882943	0.100584036081284	0.897867564534231	0.881032547699214	0.828282828282828	0.405162738496072	0.421997755331089	0.418630751964085
TSI	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.0132972078946786	0.00652408345007954	0.00160651206623384	0.166422964521888	0.175855733649847	0.179441646136506	0.0388457269700333	0.0266370699223085	0.00665926748057714	0.614872364039956	0.630410654827969	0.637069922308546
YRI	HsInv0003	long	1	187457173	187464828	187466479	187466727	187466733	187468682	249	9855	11509	0.136577853585588	0.103647373038799	0.0460861066882386	0.166223526212251	0.165361595861464	0.154681361699087	0.431886982845611	0.357214934409687	0.209889001009082	0.601412714429869	0.604439959636731	0.587285570131181
ACB	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.66052573556432	0.630899869041034	0.548456751521372	0.013651271663362	0.0125471684634471	0.00962181091974733	0.954819277108434	0.940763052208835	0.930722891566265	0.134538152610442	0.1285140562249	0.105421686746988
ASW	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.460430930799619	0.42337216092622	0.327961509057107	0.00426056363201631	0.00357224846707883	0.00234495829993701	0.869959677419355	0.848790322580645	0.764112903225806	0.0393145161290323	0.0332661290322581	0.0241935483870968
BEB	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.0967188396109248	0.0576487612565564	0.00969801474414241	0.000280334886540137	0.000309046283170137	0.000218126860508471	0.250542299349241	0.169197396963124	0.044468546637744	0	0.00108459869848156	0.00108459869848156
CDX	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.670605600700325	0.62151978229014	0.465326279330885	0.00013492019831663	0.000175878115662749	0.000143754258920695	0.794642857142857	0.762755102040816	0.644132653061224	0	0	0.00127551020408163
CEU	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.138368243951815	0.0943425648133794	0.0255268509315071	0.000123117215983972	0.000147900551669058	0.000119119903776701	0.307867730900798	0.209806157354618	0.0763968072976055	0.00228050171037628	0.00228050171037628	0.00228050171037628
CHB	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.259421948099912	0.196038711222612	0.0718544615821205	0.000543467603447938	0.000520656371197177	0.000301748581001285	0.438679245283019	0.360849056603774	0.192216981132075	0.00589622641509434	0.00589622641509434	0.0035377358490566
CHS	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.421931525955629	0.349551061325895	0.172406616397158	0.00107395072409525	0.00109198347879088	0.000765790982741051	0.620192307692308	0.566105769230769	0.381009615384615	0.0132211538461538	0.0120192307692308	0.00961538461538462
CLM	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.0522289013702041	0.0351401094190081	0.0118251457001712	0.000458718333814066	0.000396256253667658	0.000247063387075919	0.183040330920372	0.142709410548087	0.0517063081695967	0.00413650465356774	0.0031023784901758	0.00103412616339193
ESN	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.526022276504094	0.492648162490919	0.402734383839951	0.0182795015764353	0.0160169000214427	0.0116556938300627	0.894046417759839	0.877901109989909	0.826437941473259	0.148335015136226	0.132189707366297	0.1029263370333
FIN	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.304603160084525	0.243319941554619	0.104780700828602	0.000532534611737689	0.000623700039237279	0.000565466616385118	0.470360824742268	0.395618556701031	0.202319587628866	0.00515463917525773	0.00515463917525773	0.00644329896907216
GBR	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.0524045912287526	0.0267121920297685	0.00303571024300089	0.000134978549625445	0.000154203981026101	0.000124164244462575	0.120145631067961	0.0776699029126214	0.0109223300970874	0.00121359223300971	0.00121359223300971	0.00121359223300971
GIH	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.16429494817637	0.109530808728599	0.0259181396619637	0.000184474881468899	0.000210029843403985	0.000144545253445328	0.357777777777778	0.267777777777778	0.0888888888888889	0.00111111111111111	0.00111111111111111	0.00111111111111111
GWD	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.675186684331233	0.651055997895582	0.581418147641981	0.0126704921852332	0.0119850106989887	0.00941058515192326	0.968875502008032	0.96285140562249	0.947791164658635	0.100401606425703	0.0913654618473896	0.0773092369477912
IBS	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.0224148514806905	0.00847395302554343	0.000372217561164501	9.17249352641299e-06	8.37488539368143e-06	4.78564879638939e-06	0.0789189189189189	0.0389189189189189	0.00216216216216216	0	0	0
ITU	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.474974503923521	0.407445459580018	0.238989023825592	0.000848598536327036	0.00103044107982569	0.000939918585584034	0.76528384279476	0.701965065502183	0.52292576419214	0.00655021834061135	0.00873362445414847	0.00873362445414847
JPT	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.396547976639693	0.323381329570599	0.14782627286235	0.000814001794175552	0.000818015609728686	0.000568757663879072	0.544554455445545	0.476485148514851	0.285891089108911	0.00742574257425743	0.00742574257425743	0.00371287128712871
KHV	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.5968333446372	0.538068965381663	0.369122357966916	0.000330478786142616	0.000406897004245812	0.000347682887600404	0.76046511627907	0.71046511627907	0.591860465116279	0.00348837209302326	0.00465116279069767	0.00465116279069767
LWK	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.645643543460343	0.620101217405503	0.546918792443522	0.012573171835333	0.0111236272590589	0.00809474591690442	0.9678391959799	0.958793969849246	0.942713567839196	0.0844221105527638	0.078391959798995	0.0552763819095477
MSL	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.262994431168089	0.230290265920658	0.157171245086957	0.0183174877694163	0.015056263464362	0.0110073268362948	0.682139253279516	0.642785065590313	0.532795156407669	0.145307769929364	0.128153380423814	0.0958627648839556
MXL	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.258709351902592	0.193624781138481	0.0698293548430212	0.00127583179797985	0.00123347721903031	0.000804737000041156	0.500553709856035	0.408637873754153	0.184939091915836	0.0121816168327796	0.0121816168327796	0.00996677740863787
PEL	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.101261843931682	0.0702077759225358	0.0226082466622409	0.00321527738108886	0.0028397821968146	0.00202527721730905	0.261640798226164	0.185144124168514	0.0809312638580931	0.0210643015521064	0.016629711751663	0.00997782705099778
PJL	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.375840558505903	0.307287353378183	0.153492139380985	0.000215340369380514	0.000272764467881984	0.000216935483227777	0.638619201725998	0.573894282632147	0.370010787486516	0.00107874865156419	0.00107874865156419	0.00107874865156419
PUR	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.122240794659475	0.0881299199879951	0.0330140703580428	0.00705688475543566	0.00524993431619884	0.0027529561685337	0.390417940876656	0.305810397553517	0.140672782874618	0.073394495412844	0.0489296636085627	0.018348623853211
STU	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.196340454501394	0.136641967627502	0.0387640411445266	0.00115435546891355	0.00132102924646307	0.00116950763050896	0.414087513340448	0.319103521878335	0.129135538954109	0.00747065101387407	0.00853788687299893	0.0064034151547492
TSI	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.155836414062673	0.105632911992866	0.0277858595313918	0.00064273531553277	0.00073050798432061	0.000621989048364735	0.352297592997812	0.265864332603939	0.0929978118161926	0.00547045951859956	0.00656455142231947	0.00765864332603939
YRI	HsInv0004	long	1	197754840	197756787	197756791	197757984	197757987	197769661	1194	14817	14821	0.571994686250651	0.549503085206808	0.485015127799633	0.014989488896344	0.0133275633097967	0.00976669121573469	0.935613682092555	0.929577464788732	0.901408450704225	0.116700201207243	0.10261569416499	0.0774647887323944
ACB	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.232083921368167	0.2304829320409	0.390573133541719	1	1	1	0.377777777777778	0.377777777777778	0.576719576719577
ASW	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	0.440441632131831	0.40760838390136	0.32209599414718	0.160445351429972	0.141357613290004	0.201333575878704	0.567720090293454	0.5372460496614	0.45823927765237	0.297968397291196	0.260722347629797	0.354401805869074
BEB	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0216352336688978	0.0213704507888656	0.0521083934976662	1	1	1	0.0679933665008292	0.0679933665008292	0.154228855721393
CDX	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0286641173709354	0.0172962875663408	0.0101423046698852	1	1	1	0.102380952380952	0.0595238095238095	0.0404761904761905
CEU	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0139270354613558	0.0104165958809297	0.0131995246396323	1	1	1	0.050880626223092	0.0410958904109589	0.0430528375733855
CHB	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0186387777341563	0.0133105541168471	0.0128279164660679	1	1	1	0.0564853556485356	0.0418410041841004	0.0376569037656904
CHS	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0095950284096032	0.00496301482011927	0.00237431270159117	1	1	1	0.0292682926829268	0.0195121951219512	0.00975609756097561
CLM	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0539278503297162	0.0505119304562318	0.0994607175182264	1	1	1	0.121751025991792	0.116279069767442	0.207934336525308
ESN	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	0.896617512784951	0.883898836203453	0.843181890607096	0.18221606296211	0.163475146326548	0.222319464409095	0.935810810810811	0.92454954954955	0.899774774774775	0.302927927927928	0.271396396396396	0.373873873873874
FIN	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0103253882864072	0.010141450992157	0.0244680778432268	1	1	1	0.0522388059701493	0.0447761194029851	0.121890547263682
GBR	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.00843235431829224	0.00696040722667945	0.0124849150456223	1	1	1	0.0270880361173815	0.0203160270880361	0.036117381489842
GIH	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0390383987260851	0.0321713012985914	0.0416745527682013	1	1	1	0.0858208955223881	0.0690298507462687	0.100746268656716
GWD	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	0.928483765235471	0.923561552914	0.906564198243822	0.294459348804496	0.246714987753022	0.260196785183121	0.95995670995671	0.961038961038961	0.949134199134199	0.458874458874459	0.392857142857143	0.417748917748918
IBS	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0271601521357752	0.0216586500402593	0.02956613706816	1	1	1	0.0766773162939297	0.0638977635782748	0.0846645367412141
ITU	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0240917443485252	0.023941006450625	0.0567958865302529	1	1	1	0.0735785953177258	0.0735785953177258	0.145484949832776
JPT	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.000828050148611521	0.000266115971172777	0.000279762944053432	1	1	1	0.00260416666666667	0	0
KHV	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0116071671486482	0.00670119756549961	0.00453308068643565	1	1	1	0.0412371134020619	0.0288659793814433	0.022680412371134
LWK	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.305501442400052	0.261137519389445	0.287289256382045	1	1	1	0.49307774227902	0.429179978700745	0.460063897763578
MSL	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	0.806304075140103	0.790623047844187	0.740618456532035	0.142944773584321	0.131758782158634	0.209871734706113	0.900447427293065	0.897091722595078	0.852348993288591	0.252796420581655	0.238255033557047	0.374720357941834
MXL	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0222681196684675	0.0242368084466218	0.0752760739383086	1	1	1	0.0635514018691589	0.0747663551401869	0.224299065420561
PEL	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0369107771511979	0.0365069200966221	0.0817856473756682	1	1	1	0.125663716814159	0.127433628318584	0.242477876106195
PJL	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.026842177043281	0.0239550209797349	0.0428722736513512	1	1	1	0.113522537562604	0.108514190317195	0.161936560934891
PUR	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0697305592841519	0.0564451410085137	0.0764793959554678	1	1	1	0.149382716049383	0.123456790123457	0.148148148148148
STU	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0299027909085435	0.0272710996840774	0.0509591118919348	1	1	1	0.0953947368421053	0.0871710526315789	0.148026315789474
TSI	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	1	1	1	0.0214197229176433	0.0187510348198167	0.0336907409808596	1	1	1	0.0439367311072056	0.0421792618629174	0.0773286467486819
YRI	HsInv0006	long	1	205175461	205178606	205178672	205178754	205178835	205178980	83	3375	3519	0.917431159620907	0.907380322471299	0.875547794708489	0.336073432813303	0.316665111671792	0.406198275742278	0.954444444444444	0.948888888888889	0.926666666666667	0.515555555555556	0.496666666666667	0.604444444444444
ACB	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0754060609030109	0.0834505603040896	0.0911005066010282	0.0538498356148291	0.0533172308361498	0.0524849862602255	0.442885771543086	0.473947895791583	0.514028056112224	0.48496993987976	0.477955911823647	0.461923847695391
ASW	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.128323830964088	0.120914239824566	0.0849467613424248	0.0435056491094004	0.0431561295795995	0.0434607676243237	0.600201409869084	0.575025176233635	0.484390735146022	0.425981873111782	0.420946626384693	0.422960725075529
BEB	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.160891940856315	0.142655085057978	0.102817794759411	0.0237307668534901	0.0250367366307575	0.0249944670746078	0.533057851239669	0.496900826446281	0.382231404958678	0.238636363636364	0.24896694214876	0.247933884297521
CDX	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.203539212514511	0.180999866785925	0.075449121738634	0.0279280795033331	0.0285255832387353	0.0268202079939414	0.481564245810056	0.453631284916201	0.231284916201117	0.28268156424581	0.292737430167598	0.268156424581006
CEU	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0646191444542727	0.0610672891912348	0.0649994072642051	0.027601440791212	0.0281007050859002	0.0272464794672062	0.260729613733906	0.255364806866953	0.295064377682403	0.281115879828326	0.281115879828326	0.285407725321888
CHB	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.142550645706977	0.112317692059208	0.0552169279583624	0.0298847152337811	0.0306963148654397	0.0298823140514389	0.433513513513514	0.371891891891892	0.228108108108108	0.290810810810811	0.297297297297297	0.291891891891892
CHS	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0820206598962647	0.117919408970056	0.0822854465414288	0.0233251678348552	0.0249561303151044	0.0246908484571375	0.280311457174639	0.382647385984427	0.301446051167964	0.262513904338154	0.276974416017798	0.276974416017798
CLM	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.216728564280731	0.202126834906026	0.167071291487258	0.0282081936722332	0.0286008692971027	0.0272509722401806	0.6797583081571	0.660624370594159	0.604229607250755	0.282980866062437	0.283987915407855	0.269889224572004
ESN	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.110550280546138	0.105409975148263	0.0929480829154815	0.0569029598862743	0.0576030242143634	0.055839163893676	0.575150300601202	0.567134268537074	0.526052104208417	0.533066132264529	0.543086172344689	0.527054108216433
FIN	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0751546152384839	0.0593670918732307	0.0367699311179438	0.0263255232273043	0.026764081142853	0.0274440065558786	0.272009029345372	0.224604966139955	0.145598194130926	0.26410835214447	0.272009029345372	0.278781038374718
GBR	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0294803481496574	0.0182111742950463	0.00726409444248924	0.025906268812385	0.0263500558538835	0.0255465930332644	0.127232142857143	0.09375	0.0390625	0.246651785714286	0.253348214285714	0.241071428571429
GIH	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.332970723928595	0.294170674343867	0.175722204091752	0.0194373436255943	0.0205362069888029	0.020883594752608	0.724789915966387	0.699579831932773	0.550420168067227	0.21953781512605	0.227941176470588	0.228991596638655
GWD	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0544113074131078	0.0494777716515063	0.0424768370321786	0.0364091090050516	0.0372041405145755	0.038481033358379	0.364092276830492	0.343029087261785	0.329989969909729	0.372116349047141	0.376128385155466	0.383149448345035
IBS	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0537013884615558	0.0478314574869011	0.0427772533045565	0.0403828997601991	0.0405759209283202	0.0391470059585316	0.243048403707518	0.220391349124614	0.19773429454171	0.400617919670443	0.401647785787848	0.387229660144181
ITU	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.110333703543425	0.0836089734084245	0.0366523121990782	0.0221520905512062	0.0235310631727377	0.0244984974063511	0.421825813221406	0.334732423924449	0.174186778593914	0.238195173137461	0.249737670514166	0.252885624344176
JPT	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0728127030278844	0.073259290140283	0.0934756710980936	0.0233555899405755	0.0250939734566377	0.0251108314819609	0.245535714285714	0.255580357142857	0.316964285714286	0.217633928571429	0.232142857142857	0.234375
KHV	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.147335580345427	0.161426095811573	0.151763747221952	0.024721893699458	0.0249107387201109	0.0235804215725029	0.464864864864865	0.48972972972973	0.471351351351351	0.275675675675676	0.274594594594595	0.256216216216216
LWK	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0738160108321905	0.0642501235470734	0.0467602874108789	0.0345060672887166	0.0359460858327261	0.0358944864912924	0.416833667334669	0.389779559118236	0.31563126252505	0.369739478957916	0.376753507014028	0.377755511022044
MSL	HsInv0030	long	16	75233027	75238564	75240113	75256646	75258193	75259860	16534	23740	26833	0.0724744277483527	0.0673697028584198	0.0375600998237208	0.0458965508205469	0.0467172168344923	0.0512020950606785	0.428857715430862	0.401803607214429	0.259519038076152	0.428857715430862	0.427855711422846	0.454909819639279
